id,二元成立,是否成立,案件大類型,案件細節類型,主席,調解人,調解次數,調解人數,have_other,調解天數,收件年,收件月,收件日,結案年,結案月,結案日,收件星期,結案星期,收件分鐘,結案分鐘,死,賠償,糾紛,male_sum,male_mean,聲請人_sum,對造人_sum,法定代理人_sum,委任代理人_sum,公司代表人_sum,age_mean,age_median,age_min,age_max,party_count,age_missing_rate,city_missing_rate,city_mode,money_sum,money_mean,money_first,money_last,調解人過去經手數,調解人過去成功數,調解人過去成功率,案件分類
10100160,0,不成立,B.刑事,其他,385000000000000.0,372000000000000.0,9.0,2,0,92.0,2012,3,63,2012.0,7.0,192.0,5,1.0,974.0,860.0,0,0,0,1.0,0.3333333333333333,1.0,2.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,3.0,0.6666666666666666,0.0,台南,-1.0,-1.0,-1.0,-1.0,4.0,2.0,0.5,買賣租賃
10100161,1,成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,2.0,3,0,22.0,2012,3,63,2012.0,4.0,94.0,5,1.0,984.0,860.0,0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,2.0,1.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,145.0,94.0,0.648275862,車禍
10100162,1,成立,B.刑事,交通事故,385000000000000.0,341000000000000.0,1.0,4,1,5.0,2012,3,63,2012.0,3.0,69.0,5,4.0,992.0,600.0,0,0,1,1.0,0.25,1.0,1.0,0.0,2.0,0.0,46.5,46.5,41.0,52.0,4.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,114.0,76.0,0.666666667,車禍
10100163,1,成立,B.刑事,交通事故,385000000000000.0,371000000000000.0,1.0,4,1,20.0,2012,3,62,2012.0,3.0,89.0,4,3.0,644.0,780.0,0,0,1,2.0,0.5,1.0,1.0,0.0,2.0,0.0,44.333333333333336,41.0,40.0,52.0,4.0,0.25,0.0,台南,-1.0,-1.0,-1.0,-1.0,31.0,25.0,0.806451613,車禍
10100164,1,成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,1.0,2,0,8.0,2012,3,62,2012.0,3.0,73.0,4,1.0,651.0,860.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,35.0,35.0,35.0,35.0,2.0,0.5,0.5,台南,-1.0,-1.0,-1.0,-1.0,144.0,93.0,0.645833333,車禍
10100165,1,成立,B.刑事,人身/侵權,385000000000000.0,372000000000000.0,2.0,16,1,47.0,2012,2,44,2012.0,4.0,108.0,0,1.0,840.0,920.0,0,0,1,4.0,0.3636363636363636,1.0,4.0,6.0,0.0,0.0,47.6,48.0,15.0,78.0,11.0,0.5454545454545454,0.0909090909090909,台南,5000.0,5000.0,5000.0,5000.0,3.0,2.0,0.666666667,傷害
10100166,0,當事人不到場,B.刑事,人身/侵權,385000000000000.0,,1.0,3,0,6.0,2012,3,66,2012.0,3.0,73.0,1,1.0,713.0,910.0,0,0,1,1.0,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,,,,,3.0,1.0,0.3333333333333333,台南,-1.0,-1.0,-1.0,-1.0,,,,毀損
10100167,0,聲請人撤回,B.刑事,人身/侵權,385000000000000.0,,2.0,4,1,26.0,2012,3,66,2012.0,4.0,101.0,1,1.0,719.0,910.0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,3.0,1.0,0.0,台中,6277.0,6277.0,6277.0,6277.0,,,,債務
10100168,1,成立,B.刑事,其他,385000000000000.0,206000000000000.0,1.0,2,0,8.0,2012,3,66,2012.0,3.0,75.0,1,3.0,1008.0,860.0,0,0,0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,46.0,46.0,46.0,46.0,2.0,0.5,0.0,台南,1899.0,949.5,1799.0,100.0,7.0,3.0,0.428571429,詐欺
10100169,0,當事人不到場,A.民事,交通事故,385000000000000.0,,1.0,2,0,8.0,2012,3,66,2012.0,3.0,75.0,1,3.0,656.0,860.0,0,1,0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,2.0,0.5,0.5,台南,-1.0,-1.0,-1.0,-1.0,,,,車禍
10100170,1,成立,B.刑事,交通事故,385000000000000.0,296000000000000.0,2.0,2,0,13.0,2012,3,65,2012.0,3.0,81.0,0,2.0,1020.0,910.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,37.0,37.0,37.0,37.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,76.0,54.0,0.710526316,車禍
10100171,0,當事人不到場,B.刑事,人身/侵權,385000000000000.0,,1.0,2,0,11.0,2012,3,61,2012.0,3.0,75.0,3,3.0,966.0,860.0,0,0,0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,51.0,51.0,51.0,51.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,,,,買賣租賃
10100172,0,不成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,1.0,3,0,9.0,2012,3,61,2012.0,3.0,73.0,3,1.0,983.0,910.0,0,0,1,2.0,0.6666666666666666,2.0,1.0,0.0,0.0,0.0,33.5,33.5,25.0,42.0,3.0,0.3333333333333333,0.0,台南,-1.0,-1.0,-1.0,-1.0,143.0,93.0,0.65034965,車禍
10100173,1,成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,1.0,2,0,61.0,2012,3,66,2012.0,5.0,150.0,1,1.0,550.0,910.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,2.0,0.5,0.0,台南,-1.0,-1.0,-1.0,-1.0,149.0,98.0,0.657718121,車禍
10100174,1,成立,B.刑事,交通事故,385000000000000.0,341000000000000.0,2.0,6,1,17.0,2012,3,61,2012.0,3.0,83.0,3,4.0,1020.0,600.0,0,0,1,2.0,0.4,1.0,2.0,2.0,0.0,0.0,33.0,40.0,18.0,41.0,5.0,0.4,0.0,台南,-1.0,-1.0,-1.0,-1.0,113.0,75.0,0.663716814,車禍
10100175,1,成立,B.刑事,人身/侵權,385000000000000.0,372000000000000.0,1.0,7,1,10.0,2012,7,200,2012.0,7.0,213.0,2,1.0,960.0,860.0,0,0,1,2.0,0.2857142857142857,3.0,3.0,1.0,0.0,0.0,44.75,39.0,34.0,67.0,7.0,0.4285714285714285,0.0,台南,-1.0,-1.0,-1.0,-1.0,74.0,50.0,0.675675676,傷害
10100176,0,不成立,A.民事,其他,385000000000000.0,354000000000000.0,1.0,2,0,9.0,2012,3,65,2012.0,3.0,75.0,0,3.0,1034.0,860.0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,2.0,1.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,12.0,6.0,0.5,買賣租賃
10100177,1,成立,B.刑事,交通事故,385000000000000.0,385000000000000.0,2.0,4,1,107.0,2012,3,65,2012.0,7.0,213.0,0,1.0,1020.0,860.0,0,0,1,1.0,0.25,1.0,2.0,0.0,1.0,0.0,54.0,54.0,54.0,54.0,4.0,0.75,0.0,台南,-1.0,-1.0,-1.0,-1.0,146.0,95.0,0.650684932,車禍
10100178,1,成立,B.刑事,交通事故,385000000000000.0,371000000000000.0,1.0,3,0,6.0,2012,3,68,2012.0,3.0,75.0,3,3.0,840.0,910.0,0,0,1,1.0,0.3333333333333333,1.0,2.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,3.0,0.6666666666666666,0.3333333333333333,台南,-1.0,-1.0,-1.0,-1.0,32.0,26.0,0.8125,車禍
